,국제 금
2020-08-13,"1,956.70"
2020-08-12,"1,934.90"
2020-08-11,"1,932.60"
2020-08-10,"2,024.40"
2020-08-07,"2,010.10"
2020-08-06,"2,051.50"
2020-08-05,"2,031.10"
2020-08-04,"2,001.20"
2020-08-03,"1,966.00"
2020-07-31,"1,962.80"
2020-07-30,"1,942.30"
2020-07-29,"1,953.40"
2020-07-28,"1,944.60"
2020-07-27,"1,931.00"
2020-07-24,"1,897.30"
2020-07-23,"1,889.10"
2020-07-22,"1,864.10"
2020-07-21,"1,842.40"
2020-07-20,"1,815.90"
2020-07-17,"1,808.30"
2020-07-16,"1,798.70"
2020-07-15,"1,811.40"
2020-07-14,"1,810.60"
2020-07-13,"1,811.00"
2020-07-10,"1,798.20"
2020-07-09,"1,799.20"
2020-07-08,"1,815.50"
2020-07-07,"1,804.20"
2020-07-06,"1,788.50"
2020-07-02,"1,784.00"
2020-07-01,"1,773.20"
2020-06-30,"1,793.00"
2020-06-29,"1,774.80"
2020-06-26,"1,773.30"
2020-06-25,"1,763.10"
2020-06-24,"1,765.80"
2020-06-23,"1,772.10"
2020-06-22,"1,756.70"
2020-06-19,"1,745.90"
2020-06-18,"1,724.80"
2020-06-17,"1,729.20"
2020-06-16,"1,729.60"
2020-06-15,"1,720.30"
2020-06-12,"1,729.30"
2020-06-11,"1,732.00"
2020-06-10,"1,713.30"
2020-06-09,"1,714.70"
2020-06-08,"1,698.30"
2020-06-05,"1,676.20"
2020-06-04,"1,718.90"
2020-06-03,"1,697.80"
2020-06-02,"1,725.20"
2020-06-01,"1,737.80"
2020-05-29,"1,736.90"
2020-05-28,"1,713.30"
2020-05-27,"1,710.70"
2020-05-26,"1,705.60"
2020-05-22,"1,734.60"
2020-05-21,"1,720.50"
2020-05-20,"1,750.60"
2020-05-19,"1,744.20"
2020-05-18,"1,731.80"
2020-05-15,"1,753.40"
2020-05-14,"1,738.10"
2020-05-13,"1,713.90"
2020-05-12,"1,704.40"
2020-05-11,"1,695.30"
2020-05-08,"1,709.90"
2020-05-07,"1,721.80"
2020-05-06,"1,684.20"
2020-05-05,"1,704.40"
2020-05-04,"1,706.90"
2020-05-01,"1,694.50"
2020-04-30,"1,684.20"
2020-04-29,"1,703.40"
2020-04-28,"1,710.60"
2020-04-27,"1,712.60"
2020-04-24,"1,723.50"
2020-04-23,"1,733.30"
2020-04-22,"1,728.70"
2020-04-21,"1,678.20"
2020-04-20,"1,701.60"
2020-04-17,"1,689.20"
2020-04-16,"1,720.40"
2020-04-15,"1,727.20"
2020-04-14,"1,756.70"
2020-04-13,"1,744.80"
2020-04-09,"1,736.20"
2020-04-08,"1,665.40"
2020-04-07,"1,664.80"
2020-04-06,"1,677.00"
2020-04-03,"1,633.70"
2020-04-02,"1,625.70"
2020-04-01,"1,578.20"
2020-03-31,"1,583.40"
2020-03-30,"1,622.00"
2020-03-27,"1,625.00"
2020-03-26,"1,651.20"
2020-03-25,"1,632.30"
2020-03-24,"1,660.20"
2020-03-23,"1,567.00"
2020-03-20,"1,484.00"
2020-03-19,"1,478.60"
2020-03-18,"1,477.30"
2020-03-17,"1,524.90"
2020-03-16,"1,485.90"
2020-03-13,"1,515.70"
2020-03-12,"1,589.30"
2020-03-11,"1,641.40"
2020-03-10,"1,659.10"
2020-03-09,"1,674.50"
2020-03-06,"1,670.80"
2020-03-05,"1,666.40"
2020-03-04,"1,641.10"
2020-03-03,"1,642.10"
2020-03-02,"1,592.30"
2020-02-28,"1,564.10"
2020-02-27,"1,640.00"
2020-02-26,"1,640.40"
2020-02-25,"1,646.90"
2020-02-24,"1,672.40"
2020-02-21,"1,644.60"
2020-02-20,"1,616.60"
2020-02-19,"1,607.50"
2020-02-18,"1,600.00"
2020-02-14,"1,582.70"
2020-02-13,"1,575.10"
2020-02-12,"1,567.40"
2020-02-11,"1,565.60"
2020-02-10,"1,574.70"
2020-02-07,"1,568.60"
2020-02-06,"1,565.10"
2020-02-05,"1,557.80"
2020-02-04,"1,550.40"
2020-02-03,"1,577.20"
2020-01-31,"1,582.90"
2020-01-30,"1,583.50"
2020-01-29,"1,570.40"
2020-01-28,"1,569.20"
2020-01-27,"1,576.80"
2020-01-24,"1,571.10"
2020-01-23,"1,564.60"
2020-01-22,"1,555.30"
2020-01-21,"1,556.40"
2020-01-17,"1,558.80"
2020-01-16,"1,549.00"
2020-01-15,"1,552.10"
2020-01-14,"1,542.40"
2020-01-13,"1,548.40"
2020-01-10,"1,557.50"
2020-01-09,"1,551.70"
2020-01-08,"1,557.40"
2020-01-07,"1,571.80"
2020-01-06,"1,566.20"
2020-01-03,"1,549.20"
2020-01-02,"1,524.50"
2019-12-31,"1,519.50"
2019-12-30,"1,514.50"
2019-12-27,"1,514.30"
2019-12-26,"1,509.30"
2019-12-24,"1,499.10"
2019-12-23,"1,482.50"
2019-12-20,"1,474.70"
2019-12-19,"1,478.20"
2019-12-18,"1,472.60"
2019-12-17,"1,474.60"
2019-12-16,"1,475.00"
2019-12-13,"1,475.60"
2019-12-12,"1,466.70"
2019-12-11,"1,469.40"
2019-12-10,"1,462.60"
2019-12-09,"1,459.30"
2019-12-06,"1,459.10"
2019-12-05,"1,476.90"
2019-12-04,"1,474.00"
2019-12-03,"1,478.20"
2019-12-02,"1,462.30"
2019-11-29,"1,465.60"
2019-11-27,"1,453.40"
2019-11-26,"1,460.30"
2019-11-25,"1,456.60"
2019-11-22,"1,463.10"
2019-11-21,"1,463.10"
2019-11-20,"1,473.30"
2019-11-19,"1,473.30"
2019-11-18,"1,470.90"
2019-11-15,"1,467.30"
2019-11-14,"1,471.80"
2019-11-13,"1,461.70"
2019-11-12,"1,452.10"
2019-11-11,"1,455.50"
2019-11-08,"1,461.30"
2019-11-07,"1,464.20"
2019-11-06,"1,490.20"
2019-11-05,"1,480.80"
2019-11-04,"1,508.00"
2019-11-01,"1,508.00"
2019-10-31,"1,511.40"
2019-10-30,"1,493.20"
2019-10-29,"1,487.40"
2019-10-28,"1,492.40"
2019-10-25,"1,499.50"
2019-10-24,"1,498.90"
2019-10-23,"1,489.90"
2019-10-22,"1,481.70"
2019-10-21,"1,482.40"
2019-10-18,"1,488.20"
2019-10-17,"1,492.30"
2019-10-16,"1,488.00"
2019-10-15,"1,477.60"
2019-10-14,"1,491.70"
2019-10-11,"1,482.70"
2019-10-10,"1,494.80"
2019-10-09,"1,506.10"
2019-10-08,"1,497.20"
2019-10-07,"1,497.70"
2019-10-04,"1,506.20"
2019-10-03,"1,507.10"
2019-10-02,"1,501.00"
2019-10-01,"1,482.00"
2019-09-30,"1,465.70"
2019-09-27,"1,499.10"
2019-09-26,"1,507.90"
2019-09-25,"1,505.10"
2019-09-24,"1,532.10"
2019-09-23,"1,523.70"
2019-09-20,"1,507.30"
2019-09-19,"1,498.40"
2019-09-18,"1,507.50"
2019-09-17,"1,505.10"
2019-09-16,"1,503.10"
2019-09-13,"1,490.90"
2019-09-12,"1,498.70"
2019-09-11,"1,494.40"
2019-09-10,"1,490.30"
2019-09-09,"1,502.20"
2019-09-06,"1,506.20"
2019-09-05,"1,515.40"
2019-09-04,"1,550.30"
2019-09-03,"1,545.90"
2019-08-30,"1,519.10"
2019-08-29,"1,526.50"
2019-08-28,"1,538.80"
2019-08-27,"1,541.40"
2019-08-26,"1,526.30"
2019-08-23,"1,526.60"
2019-08-22,"1,497.30"
2019-08-21,"1,504.60"
2019-08-20,"1,504.60"
2019-08-19,"1,500.40"
2019-08-16,"1,512.50"
2019-08-15,"1,519.60"
2019-08-14,"1,515.90"
2019-08-13,"1,502.20"
2019-08-12,"1,505.30"
2019-08-09,"1,496.60"
2019-08-08,"1,497.70"
2019-08-07,"1,507.30"
2019-08-06,"1,472.40"
2019-08-05,"1,464.60"
2019-08-02,"1,445.60"
2019-08-01,"1,420.90"
2019-07-31,"1,426.10"
2019-07-30,"1,429.70"
2019-07-29,"1,420.40"
2019-07-26,"1,418.50"
2019-07-25,"1,413.90"
2019-07-24,"1,422.80"
2019-07-23,"1,420.10"
2019-07-22,"1,425.30"
2019-07-19,"1,425.10"
2019-07-18,"1,426.10"
2019-07-17,"1,421.30"
2019-07-16,"1,409.20"
2019-07-15,"1,411.40"
2019-07-12,"1,409.90"
2019-07-11,"1,404.30"
2019-07-10,"1,410.10"
2019-07-09,"1,397.50"
2019-07-08,"1,397.00"
2019-07-05,"1,396.70"
2019-07-03,"1,417.70"
2019-07-02,"1,404.60"
2019-07-01,"1,385.60"
2019-06-28,"1,409.70"
2019-06-27,"1,408.40"
2019-06-26,"1,411.50"
2019-06-25,"1,415.80"
2019-06-24,"1,414.30"
2019-06-21,"1,396.20"
2019-06-20,"1,392.90"
2019-06-19,"1,344.60"
2019-06-18,"1,346.60"
2019-06-17,"1,338.70"
2019-06-14,"1,340.10"
2019-06-13,"1,339.20"
2019-06-12,"1,331.90"
2019-06-11,"1,326.40"
2019-06-10,"1,324.70"
2019-06-07,"1,341.20"
2019-06-06,"1,337.60"
2019-06-05,"1,328.30"
2019-06-04,"1,323.40"
2019-06-03,"1,322.70"
2019-05-31,"1,305.80"
2019-05-30,"1,287.10"
2019-05-29,"1,281.00"
2019-05-28,"1,276.50"
2019-05-24,"1,283.00"
2019-05-23,"1,284.80"
2019-05-22,"1,273.60"
2019-05-21,"1,272.00"
2019-05-20,"1,276.10"
2019-05-17,"1,274.50"
2019-05-16,"1,285.00"
2019-05-15,"1,296.30"
2019-05-14,"1,294.70"
2019-05-13,"1,300.10"
2019-05-10,"1,285.70"
2019-05-09,"1,283.50"
2019-05-08,"1,279.40"
2019-05-07,"1,283.50"
2019-05-06,"1,281.70"
2019-05-03,"1,279.20"
2019-05-02,"1,269.70"
2019-05-01,"1,281.40"
2019-04-30,"1,282.80"
2019-04-29,"1,278.60"
2019-04-26,"1,285.50"
2019-04-25,"1,276.40"
2019-04-24,"1,275.50"
2019-04-23,"1,269.30"
2019-04-22,"1,273.50"
2019-04-18,"1,271.90"
2019-04-17,"1,272.20"
2019-04-16,"1,272.60"
2019-04-15,"1,286.80"
2019-04-12,"1,290.60"
2019-04-11,"1,288.60"
2019-04-10,"1,309.10"
2019-04-09,"1,303.50"
2019-04-08,"1,297.10"
2019-04-05,"1,290.40"
2019-04-04,"1,289.00"
2019-04-03,"1,289.90"
2019-04-02,"1,290.00"
2019-04-01,"1,288.40"
2019-03-29,"1,293.00"
2019-03-28,"1,289.80"
2019-03-27,"1,310.40"
2019-03-26,"1,315.00"
2019-03-25,"1,321.90"
2019-03-22,"1,311.60"
2019-03-21,"1,306.10"
2019-03-20,"1,300.50"
2019-03-19,"1,305.00"
2019-03-18,"1,300.30"
2019-03-15,"1,301.80"
2019-03-14,"1,293.40"
2019-03-13,"1,307.50"
2019-03-12,"1,296.30"
2019-03-11,"1,288.80"
2019-03-08,"1,297.00"
2019-03-07,"1,283.80"
2019-03-06,"1,284.90"
2019-03-05,"1,282.00"
2019-03-04,"1,284.80"
2019-03-01,"1,296.40"
2019-02-28,"1,312.80"
2019-02-27,"1,317.70"
2019-02-26,"1,325.10"
2019-02-25,"1,325.90"
2019-02-22,"1,329.20"
2019-02-21,"1,323.50"
2019-02-20,"1,343.30"
2019-02-19,"1,340.10"
2019-02-15,"1,318.10"
2019-02-14,"1,309.80"
2019-02-13,"1,310.80"
2019-02-12,"1,309.20"
2019-02-11,"1,307.00"
2019-02-08,"1,313.70"
2019-02-07,"1,309.40"
2019-02-06,"1,309.50"
2019-02-05,"1,314.20"
2019-02-04,"1,314.30"
2019-02-01,"1,316.90"
2019-01-31,"1,319.70"
2019-01-29,"1,308.20"
2019-01-28,"1,302.40"
2019-01-25,"1,297.40"
2019-01-24,"1,279.10"
2019-01-23,"1,283.10"
2019-01-22,"1,282.50"
2019-01-18,"1,281.30"
2019-01-17,"1,291.00"
2019-01-16,"1,291.60"
2019-01-15,"1,286.20"
2019-01-14,"1,289.10"
2019-01-11,"1,287.10"
2019-01-10,"1,284.70"
2019-01-09,"1,289.30"
2019-01-08,"1,283.20"
2019-01-07,"1,286.80"
2019-01-04,"1,282.70"
2019-01-03,"1,291.80"
2019-01-02,"1,281.00"
2018-12-31,"1,278.30"
2018-12-28,"1,279.90"
2018-12-27,"1,277.30"
2018-12-26,"1,269.20"
2018-12-24,"1,267.50"
2018-12-21,"1,253.80"
2018-12-20,"1,263.60"
2018-12-19,"1,252.10"
2018-12-18,"1,249.20"
2018-12-17,"1,247.40"
2018-12-14,"1,237.00"
2018-12-13,"1,242.70"
2018-12-12,"1,244.40"
2018-12-11,"1,241.90"
2018-12-10,"1,243.70"
2018-12-07,"1,246.80"
2018-12-06,"1,238.10"
2018-12-05,"1,237.10"
2018-12-04,"1,241.10"
2018-12-03,"1,233.90"
2018-11-30,"1,220.20"
2018-11-29,"1,224.10"
2018-11-28,"1,221.40"
2018-11-27,"1,211.20"
2018-11-26,"1,220.20"
2018-11-23,"1,221.00"
2018-11-21,"1,225.80"
2018-11-20,"1,219.00"
2018-11-19,"1,223.10"
2018-11-16,"1,220.80"
2018-11-15,"1,212.80"
2018-11-14,"1,207.90"
2018-11-13,"1,199.20"
2018-11-12,"1,201.30"
2018-11-09,"1,206.40"
2018-11-08,"1,222.90"
2018-11-07,"1,226.20"
2018-11-06,"1,223.80"
2018-11-05,"1,229.80"
2018-11-02,"1,230.90"
2018-11-01,"1,236.00"
2018-10-31,"1,212.30"
2018-10-30,"1,222.60"
2018-10-29,"1,224.50"
2018-10-26,"1,232.50"
2018-10-25,"1,229.10"
2018-10-24,"1,227.80"
2018-10-23,"1,233.40"
2018-10-22,"1,221.20"
2018-10-19,"1,225.30"
2018-10-18,"1,226.50"
2018-10-17,"1,223.70"
2018-10-16,"1,227.30"
2018-10-15,"1,226.40"
2018-10-12,"1,218.10"
2018-10-11,"1,223.50"
2018-10-10,"1,189.30"
2018-10-09,"1,187.20"
2018-10-08,"1,184.40"
2018-10-05,"1,201.20"
2018-10-04,"1,197.20"
2018-10-03,"1,198.30"
2018-10-02,"1,202.40"
2018-10-01,"1,187.10"
2018-09-28,"1,191.50"
2018-09-27,"1,182.30"
2018-09-26,"1,194.00"
2018-09-25,"1,200.00"
2018-09-24,"1,199.30"
2018-09-21,"1,196.20"
2018-09-20,"1,206.20"
2018-09-19,"1,202.20"
2018-09-18,"1,196.80"
2018-09-17,"1,199.70"
2018-09-14,"1,195.00"
2018-09-13,"1,202.00"
2018-09-12,"1,204.70"
2018-09-11,"1,195.40"
2018-09-10,"1,193.00"
2018-09-07,"1,193.60"
2018-09-06,"1,197.90"
2018-09-05,"1,194.90"
2018-09-04,"1,192.70"
2018-08-31,"1,200.30"
2018-08-30,"1,197.70"
2018-08-29,"1,204.50"
2018-08-28,"1,207.40"
2018-08-27,"1,209.00"
2018-08-24,"1,206.30"
2018-08-23,"1,187.00"
2018-08-22,"1,196.30"
2018-08-21,"1,192.60"
2018-08-20,"1,186.80"
2018-08-17,"1,176.50"
2018-08-16,"1,176.20"
2018-08-15,"1,177.50"
2018-08-14,"1,193.00"
2018-08-13,"1,191.30"
2018-08-10,"1,211.10"
2018-08-09,"1,211.90"
2018-08-08,"1,212.60"
2018-08-07,"1,209.60"
2018-08-06,"1,208.60"
2018-08-03,"1,214.20"
2018-08-02,"1,210.60"
2018-08-01,"1,217.90"
2018-07-31,"1,223.70"
2018-07-30,"1,221.30"
2018-07-27,"1,222.60"
2018-07-26,"1,225.30"
2018-07-25,"1,231.40"
2018-07-24,"1,223.90"
2018-07-23,"1,224.00"
2018-07-20,"1,229.50"
2018-07-19,"1,222.40"
2018-07-18,"1,226.30"
2018-07-17,"1,225.70"
2018-07-16,"1,238.10"
2018-07-13,"1,239.60"
2018-07-12,"1,245.00"
2018-07-11,"1,242.80"
2018-07-10,"1,253.80"
2018-07-09,"1,258.10"
2018-07-06,"1,254.30"
2018-07-05,"1,257.30"
2018-07-03,"1,251.60"
2018-07-02,"1,239.80"
2018-06-29,"1,251.30"
2018-06-28,"1,247.80"
2018-06-27,"1,253.00"
2018-06-26,"1,256.60"
2018-06-25,"1,265.60"
2018-06-22,"1,267.40"
2018-06-21,"1,267.20"
2018-06-20,"1,271.20"
2018-06-19,"1,275.60"
2018-06-18,"1,276.20"
2018-06-15,"1,274.60"
2018-06-14,"1,304.00"
2018-06-13,"1,296.90"
2018-06-12,"1,295.10"
2018-06-11,"1,298.90"
2018-06-08,"1,298.10"
2018-06-07,"1,298.70"
2018-06-06,"1,297.10"
2018-06-05,"1,297.50"
2018-06-04,"1,293.10"
2018-06-01,"1,294.80"
2018-05-31,"1,300.10"
2018-05-30,"1,301.50"
2018-05-29,"1,299.00"
2018-05-25,"1,303.30"
2018-05-24,"1,303.70"
2018-05-23,"1,289.30"
2018-05-22,"1,291.70"
2018-05-21,"1,290.20"
2018-05-18,"1,290.20"
2018-05-17,"1,288.20"
2018-05-16,"1,290.20"
2018-05-15,"1,288.90"
2018-05-14,"1,316.50"
2018-05-11,"1,319.00"
2018-05-10,"1,320.80"
2018-05-09,"1,311.30"
2018-05-08,"1,312.00"
2018-05-07,"1,312.20"
2018-05-04,"1,312.70"
2018-05-03,"1,310.70"
2018-05-02,"1,302.60"
2018-05-01,"1,303.80"
2018-04-30,"1,316.20"
2018-04-27,"1,320.30"
2018-04-26,"1,314.60"
2018-04-25,"1,321.20"
2018-04-24,"1,331.40"
2018-04-23,"1,322.50"
2018-04-20,"1,336.70"
2018-04-19,"1,346.80"
2018-04-18,"1,351.20"
2018-04-17,"1,347.20"
2018-04-16,"1,347.50"
2018-04-13,"1,344.80"
2018-04-12,"1,338.40"
2018-04-11,"1,356.50"
2018-04-10,"1,342.00"
2018-04-09,"1,336.30"
2018-04-06,"1,331.90"
2018-04-05,"1,324.30"
2018-04-04,"1,335.80"
2018-04-03,"1,332.80"
2018-04-02,"1,342.10"
2018-03-29,"1,322.80"
2018-03-28,"1,324.20"
2018-03-27,"1,342.00"
2018-03-26,"1,354.40"
2018-03-23,"1,349.30"
2018-03-22,"1,326.60"
2018-03-21,"1,320.70"
2018-03-20,"1,311.10"
2018-03-19,"1,316.80"
2018-03-16,"1,311.30"
2018-03-15,"1,316.80"
2018-03-14,"1,324.40"
2018-03-13,"1,325.90"
2018-03-12,"1,319.40"
2018-03-09,"1,322.40"
2018-03-08,"1,319.90"
2018-03-07,"1,326.00"
2018-03-06,"1,333.60"
2018-03-05,"1,318.10"
2018-03-02,"1,321.10"
2018-03-01,"1,302.90"
2018-02-28,"1,315.50"
2018-02-27,"1,315.50"
2018-02-26,"1,330.70"
2018-02-23,"1,328.20"
2018-02-22,"1,330.60"
2018-02-21,"1,330.00"
2018-02-20,"1,328.80"
2018-02-16,"1,353.20"
2018-02-15,"1,352.10"
2018-02-14,"1,355.50"
2018-02-13,"1,328.10"
2018-02-12,"1,324.20"
2018-02-09,"1,313.10"
2018-02-08,"1,316.90"
2018-02-07,"1,311.60"
2018-02-06,"1,326.10"
2018-02-05,"1,333.00"
2018-02-02,"1,333.70"
2018-02-01,"1,344.30"
2018-01-31,"1,339.00"
2018-01-30,"1,335.40"
2018-01-29,"1,339.80"
2018-01-26,"1,351.60"
2018-01-25,"1,362.40"
2018-01-24,"1,355.90"
2018-01-23,"1,335.70"
2018-01-22,"1,330.90"
2018-01-19,"1,331.90"
2018-01-18,"1,326.00"
2018-01-17,"1,338.00"
2018-01-16,"1,335.40"
2018-01-12,"1,333.40"
2018-01-11,"1,320.60"
2018-01-10,"1,317.40"
2018-01-09,"1,311.70"
2018-01-08,"1,318.60"
2018-01-05,"1,320.30"
2018-01-04,"1,319.40"
2018-01-03,"1,316.20"
2018-01-02,"1,313.70"
2017-12-29,"1,306.30"
2017-12-28,"1,294.10"
2017-12-27,"1,287.00"
2017-12-26,"1,284.10"
2017-12-22,"1,275.40"
2017-12-21,"1,267.30"
2017-12-20,"1,266.10"
2017-12-19,"1,260.70"
2017-12-18,"1,262.20"
2017-12-15,"1,254.30"
2017-12-14,"1,253.80"
2017-12-13,"1,245.40"
2017-12-12,"1,238.50"
2017-12-11,"1,243.70"
2017-12-08,"1,245.20"
2017-12-07,"1,249.80"
2017-12-06,"1,262.80"
2017-12-05,"1,261.60"
2017-12-04,"1,274.30"
2017-12-01,"1,278.80"
2017-11-30,"1,273.20"
2017-11-29,"1,282.10"
2017-11-28,"1,294.70"
2017-11-27,"1,293.80"
2017-11-24,"1,286.70"
2017-11-22,"1,291.60"
2017-11-21,"1,281.10"
2017-11-20,"1,274.60"
2017-11-17,"1,295.80"
2017-11-16,"1,277.40"
2017-11-15,"1,276.50"
2017-11-14,"1,281.50"
2017-11-13,"1,277.30"
2017-11-10,"1,272.40"
2017-11-09,"1,285.60"
2017-11-08,"1,281.60"
2017-11-07,"1,273.70"
2017-11-06,"1,279.40"
2017-11-03,"1,266.50"
2017-11-02,"1,274.90"
2017-11-01,"1,274.10"
2017-10-31,"1,267.00"
2017-10-30,"1,274.10"
2017-10-27,"1,268.20"
2017-10-26,"1,266.80"
2017-10-25,"1,276.30"
2017-10-24,"1,275.80"
2017-10-23,"1,278.80"
2017-10-20,"1,277.40"
2017-10-19,"1,286.90"
2017-10-18,"1,279.90"
2017-10-17,"1,283.00"
2017-10-16,"1,299.90"
2017-10-13,"1,301.50"
2017-10-12,"1,293.30"
2017-10-11,"1,285.80"
2017-10-10,"1,290.60"
2017-10-09,"1,281.80"
2017-10-06,"1,271.60"
2017-10-05,"1,269.90"
2017-10-04,"1,273.70"
2017-10-03,"1,271.50"
2017-10-02,"1,272.70"
2017-09-29,"1,281.50"
2017-09-28,"1,285.50"
2017-09-27,"1,283.40"
2017-09-26,"1,297.00"
2017-09-25,"1,306.80"
2017-09-22,"1,293.30"
2017-09-21,"1,290.60"
2017-09-20,"1,312.00"
2017-09-19,"1,306.20"
2017-09-18,"1,306.30"
2017-09-15,"1,320.40"
2017-09-14,"1,324.70"
2017-09-13,"1,323.40"
2017-09-12,"1,328.00"
2017-09-11,"1,331.00"
2017-09-08,"1,346.00"
2017-09-07,"1,345.10"
2017-09-06,"1,333.90"
2017-09-05,"1,339.20"
2017-09-01,"1,324.50"
2017-08-31,"1,316.20"
2017-08-30,"1,308.10"
2017-08-29,"1,313.10"
2017-08-28,"1,309.70"
2017-08-25,"1,292.50"
2017-08-24,"1,286.50"
2017-08-23,"1,288.90"
2017-08-22,"1,285.10"
2017-08-21,"1,290.80"
2017-08-18,"1,285.70"
2017-08-17,"1,286.40"
2017-08-16,"1,276.90"
2017-08-15,"1,273.70"
2017-08-14,"1,284.20"
2017-08-11,"1,287.70"
2017-08-10,"1,283.70"
2017-08-09,"1,273.00"
2017-08-08,"1,256.40"
2017-08-07,"1,258.20"
2017-08-04,"1,258.30"
2017-08-03,"1,267.80"
2017-08-02,"1,271.80"
2017-08-01,"1,272.60"
2017-07-31,"1,266.60"
2017-07-28,"1,268.40"
2017-07-27,"1,259.60"
2017-07-26,"1,249.00"
2017-07-25,"1,251.70"
2017-07-24,"1,253.90"
2017-07-21,"1,254.30"
2017-07-20,"1,244.80"
2017-07-19,"1,241.20"
2017-07-18,"1,241.10"
2017-07-17,"1,232.80"
2017-07-14,"1,226.60"
2017-07-13,"1,216.30"
2017-07-12,"1,218.10"
2017-07-11,"1,213.60"
2017-07-10,"1,212.10"
2017-07-07,"1,208.60"
2017-07-06,"1,222.20"
2017-07-05,"1,220.40"
2017-07-03,"1,217.90"
2017-06-30,"1,240.70"
2017-06-29,"1,244.20"
2017-06-28,"1,248.00"
2017-06-27,"1,246.40"
2017-06-26,"1,246.30"
2017-06-23,"1,256.20"
2017-06-22,"1,247.60"
2017-06-21,"1,243.40"
2017-06-20,"1,241.00"
2017-06-19,"1,244.20"
2017-06-16,"1,254.00"
2017-06-15,"1,252.20"
2017-06-14,"1,272.80"
2017-06-13,"1,265.80"
2017-06-12,"1,266.10"
2017-06-09,"1,268.50"
2017-06-08,"1,276.30"
2017-06-07,"1,290.10"
2017-06-06,"1,294.40"
2017-06-05,"1,279.30"
2017-06-02,"1,276.80"
2017-06-01,"1,267.00"
2017-05-31,"1,272.00"
2017-05-30,"1,262.10"
2017-05-26,"1,267.60"
2017-05-25,"1,255.80"
2017-05-24,"1,252.40"
2017-05-23,"1,254.80"
2017-05-22,"1,260.70"
2017-05-19,"1,252.70"
2017-05-18,"1,251.70"
2017-05-17,"1,257.50"
2017-05-16,"1,235.00"
